timeS	commits
0.0	137306.0
1.0	51543.0
2.0	4569.0
3.0	2243.0
4.0	2971.0
5.0	1622.0
6.0	1930.0
7.0	1542.0
8.0	997.0
9.0	719.0
10.0	804.0
11.0	741.0
12.0	413.0
13.0	977.0
14.0	395.0
15.0	261.0
16.0	638.0
17.0	596.0
18.0	289.0
19.0	148.0
20.0	412.0
21.0	388.0
22.0	535.0
23.0	603.0
24.0	487.0
25.0	246.0
26.0	547.0
27.0	153.0
28.0	499.0
29.0	333.0
30.0	278.0
31.0	135.0
32.0	167.0
33.0	109.0
34.0	198.0
35.0	358.0
36.0	574.0
37.0	289.0
38.0	171.0
39.0	206.0
40.0	408.0
41.0	103.0
42.0	449.0
43.0	79.0
44.0	458.0
45.0	876.0
46.0	357.0
47.0	189.0
48.0	253.0
49.0	218.0
50.0	367.0
51.0	253.0
52.0	102.0
53.0	127.0
54.0	305.0
55.0	486.0
56.0	328.0
57.0	294.0
58.0	318.0
59.0	136.0
60.0	237.0
61.0	129.0
62.0	222.0
63.0	153.0
64.0	71.0
65.0	107.0
66.0	130.0
67.0	189.0
68.0	82.0
69.0	62.0
70.0	200.0
71.0	435.0
72.0	50.0
73.0	161.0
74.0	586.0
75.0	538.0
76.0	1103.0
77.0	522.0
78.0	258.0
79.0	863.0
80.0	166.0
81.0	601.0
82.0	820.0
83.0	213.0
84.0	766.0
85.0	263.0
86.0	362.0
87.0	20.0
88.0	200.0
89.0	902.0
90.0	1068.0
91.0	333.0
92.0	346.0
93.0	220.0
94.0	207.0
95.0	85.0
96.0	951.0
97.0	69.0
98.0	49.0
99.0	128.0
100.0	153.0
101.0	1.0
102.0	102.0
103.0	338.0
104.0	786.0
105.0	346.0
106.0	1012.0
107.0	371.0
108.0	384.0
109.0	17.0
110.0	166.0
111.0	55.0
112.0	901.0
113.0	63.0
114.0	245.0
115.0	138.0
116.0	167.0
117.0	189.0
118.0	256.0
119.0	76.0
120.0	204.0
121.0	276.0
122.0	457.0
123.0	607.0
124.0	532.0
125.0	986.0
126.0	224.0
127.0	445.0
128.0	58.0
129.0	496.0
130.0	824.0
131.0	629.0
132.0	330.0
133.0	623.0
134.0	942.0
135.0	554.0
136.0	1329.0
137.0	351.0
138.0	394.0
139.0	497.0
140.0	232.0
141.0	258.0
142.0	228.0
143.0	379.0
144.0	337.0
145.0	98.0
146.0	605.0
147.0	61.0
148.0	781.0
149.0	208.0
150.0	1072.0
151.0	757.0
152.0	1757.0
153.0	93.0
154.0	189.0
155.0	183.0
156.0	381.0
157.0	85.0
158.0	30.0
159.0	605.0
160.0	578.0
161.0	310.0
162.0	24.0
163.0	247.0
164.0	156.0
165.0	299.0
166.0	20.0
167.0	267.0
168.0	183.0
169.0	22.0
170.0	75.0
171.0	126.0
172.0	4.0
173.0	190.0
174.0	24.0
175.0	9.0
176.0	148.0
177.0	92.0
178.0	667.0
179.0	110.0
180.0	360.0
181.0	288.0
182.0	47.0
183.0	65.0
184.0	41.0
185.0	93.0
186.0	26.0
187.0	348.0
188.0	48.0
189.0	58.0
190.0	61.0
191.0	141.0
192.0	35.0
193.0	6.0
194.0	129.0
195.0	19.0
196.0	67.0
197.0	338.0
198.0	9.0
199.0	85.0
200.0	4.0
201.0	639.0
202.0	45.0
203.0	343.0
204.0	368.0
205.0	817.0
207.0	20.0
208.0	16.0
209.0	9.0
210.0	39.0
211.0	69.0
212.0	9.0
213.0	88.0
215.0	231.0
216.0	45.0
217.0	64.0
218.0	137.0
219.0	125.0
220.0	6.0
221.0	1.0
222.0	297.0
223.0	133.0
224.0	88.0
225.0	1.0
227.0	87.0
228.0	162.0
229.0	124.0
230.0	1263.0
231.0	5.0
232.0	131.0
233.0	162.0
234.0	134.0
236.0	6.0
238.0	5.0
239.0	45.0
240.0	45.0
241.0	1.0
244.0	272.0
245.0	9.0
246.0	1.0
247.0	15.0
248.0	55.0
250.0	45.0
252.0	9.0
253.0	20.0
255.0	67.0
256.0	95.0
258.0	6.0
259.0	5.0
260.0	51.0
262.0	84.0
263.0	13.0
267.0	24.0
269.0	47.0
270.0	6.0
271.0	35.0
272.0	90.0
273.0	3.0
274.0	28.0
275.0	92.0
276.0	6.0
277.0	2.0
278.0	84.0
280.0	45.0
281.0	67.0
282.0	82.0
283.0	20.0
284.0	10.0
285.0	25.0
286.0	132.0
287.0	93.0
288.0	58.0
290.0	24.0
292.0	270.0
293.0	24.0
294.0	100.0
295.0	112.0
297.0	74.0
298.0	70.0
299.0	2.0
301.0	34.0
302.0	48.0
303.0	28.0
304.0	48.0
305.0	24.0
306.0	43.0
